CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,38,66,36
2,Female,49,93,43
3,Male,40,44,44
4,Male,50,120,66
5,Male,20,65,38
6,Female,35,95,77
7,Male,42,147,67
8,Male,59,43,79
9,Male,48,146,82
10,Female,20,88,58
11,Male,57,31,18
12,Male,63,98,60
13,Male,41,83,59
14,Male,67,48,68
15,Female,49,20,35
16,Male,64,67,47
17,Female,39,140,98
18,Female,40,57,46
19,Female,19,129,73
20,Male,44,125,90
21,Female,59,94,53
22,Male,19,109,94
23,Female,43,132,93
24,Female,34,22,3
25,Female,57,146,96
26,Female,50,118,99
27,Female,26,146,85
28,Female,60,39,23
29,Female,65,110,98
30,Female,56,107,74
31,Male,46,75,78
32,Male,59,136,63
33,Female,43,65,58
34,Female,52,35,22
35,Female,67,19,25
36,Male,42,106,72
37,Female,41,75,47
38,Male,30,36,33
39,Male,24,84,45
40,Male,53,15,45
41,Male,62,147,61
42,Male,37,26,35
43,Female,18,104,93
44,Female,25,60,59
45,Female,63,48,42
46,Female,33,92,42
47,Female,31,59,47
48,Male,29,87,61
49,Female,68,40,61
50,Female,40,61,64
51,Male,32,135,98
52,Female,45,70,75
53,Male,51,108,88
54,Female,19,121,88
55,Male,49,77,73
56,Female,40,62,45
57,Female,39,75,73
58,Male,68,95,76
59,Male,42,40,39
60,Male,39,50,59
61,Male,39,15,25
62,Male,66,22,39
63,Male,69,127,79
64,Male,59,113,64
65,Male,23,61,30
66,Female,32,141,89
67,Female,60,70,78
68,Male,54,28,3
69,Female,50,42,74
70,Female,25,92,43
71,Female,61,144,89
72,Female,61,123,63
73,Male,22,28,18
74,Female,56,70,66
75,Male,21,129,84
76,Female,23,21,48
77,Female,62,17,1
78,Female,49,125,74
79,Male,69,121,68
80,Female,47,32,15
81,Male,64,52,78
82,Female,52,129,83
83,Male,57,29,4
84,Female,69,133,71
85,Male,33,42,66
86,Male,30,53,66
87,Female,67,31,43
88,Male,59,100,35
89,Female,47,140,98
90,Female,36,58,75
91,Female,34,39,24
92,Female,36,27,11
93,Female,45,39,13
94,Female,43,82,63
95,Female,54,81,54
96,Female,43,123,66
97,Female,40,125,63
98,Female,26,125,67
99,Female,29,48,49
100,Male,18,125,88
101,Male,18,22,45
102,Female,64,127,69
103,Female,51,97,72
104,Female,49,56,63
105,Female,65,115,85
106,Female,42,20,41
107,Female,57,40,78
108,Female,62,78,32
109,Female,18,73,35
110,Male,33,123,64
111,Female,56,135,64
112,Male,22,47,76
113,Female,39,35,23
114,Female,46,84,78
115,Male,20,126,68
116,Female,29,18,35
117,Male,43,108,79
118,Female,33,89,78
119,Female,68,76,71
120,Male,54,108,94
121,Female,39,109,77
122,Male,46,69,46
123,Female,31,145,83
124,Male,45,45,32
125,Male,22,54,61
126,Female,64,50,64
127,Female,66,20,38
128,Male,47,80,42
129,Female,63,89,76
130,Female,69,18,25
131,Female,22,93,38
132,Male,29,148,63
133,Male,33,132,73
134,Male,43,127,96
135,Male,43,108,93
136,Male,65,76,40
137,Male,38,93,70
138,Male,56,40,32
139,Male,53,58,57
140,Male,50,147,88
141,Female,47,84,38
142,Male,54,132,62
143,Female,40,82,54
144,Female,27,33,34
145,Female,22,34,12
146,Male,53,127,68
147,Male,51,61,44
148,Male,69,15,40
149,Male,48,104,84
150,Female,27,78,34
151,Male,36,52,40
152,Male,49,51,63
153,Male,18,140,83
154,Male,22,114,74
155,Male,62,91,67
156,Female,21,17,8
157,Male,33,148,64
158,Female,41,24,48
159,Male,33,19,26
160,Female,19,144,77
161,Male,66,27,6
162,Male,45,144,96
163,Female,49,98,77
164,Female,44,79,42
165,Female,37,77,57
166,Male,41,115,64
167,Female,29,87,42
168,Male,67,31,17
169,Male,52,23,40
170,Female,50,52,74
171,Female,50,108,91
172,Male,68,109,88
173,Male,60,63,32
174,Female,54,83,69
175,Female,29,76,63
176,Female,20,92,69
177,Male,18,131,86
178,Male,50,134,72
179,Male,57,90,74
180,Male,27,49,62
181,Male,60,15,6
182,Male,61,54,53
183,Female,46,78,48
184,Male,30,74,45
185,Male,29,78,69
186,Male,48,107,87
187,Female,63,86,62
188,Male,19,25,48
189,Male,68,119,100
190,Female,67,28,13
191,Male,52,74,72
192,Male,40,44,74
193,Male,34,49,54
194,Male,43,19,42
195,Male,25,97,65
196,Female,46,137,86
197,Female,43,92,67
198,Female,27,76,36
199,Male,43,146,64
200,Male,51,103,90
201,Male,68,56,52
202,Female,58,103,69
203,Male,24,54,61
204,Male,21,86,72
205,Female,67,53,59
206,Male,62,118,98
207,Female,28,28,31
208,Female,46,46,47
209,Female,53,139,95
210,Male,42,111,61
211,Male,38,37,14
212,Male,53,77,42
213,Male,27,67,58
214,Male,54,118,71
215,Male,26,118,98
216,Male,41,53,31
217,Female,52,148,91
218,Male,66,81,42
219,Female,52,149,86
220,Male,65,56,78
221,Male,53,29,41
222,Male,35,125,76
223,Female,66,47,69
224,Female,56,52,60
225,Female,49,111,93
226,Female,41,47,53
227,Male,40,100,74
228,Female,49,80,64
229,Male,54,24,48
230,Male,29,19,6
231,Female,66,137,78
232,Female,30,88,59
233,Female,40,111,66
234,Female,42,132,69
235,Female,52,52,70
236,Female,58,61,61
237,Female,47,123,93
238,Female,34,29,28
239,Male,66,19,15
240,Female,37,61,59
241,Female,65,82,66
242,Male,42,90,58
243,Female,39,144,81
244,Male,30,109,63
245,Male,36,129,79
246,Female,66,50,61
247,Male,53,40,65
248,Male,29,57,79
249,Male,58,41,33
250,Male,36,83,56
251,Female,29,25,17
252,Male,26,88,41
253,Female,24,118,81
254,Male,45,52,46
255,Male,31,148,69
256,Male,48,37,1
257,Male,69,61,51
258,Female,36,104,85
259,Female,64,60,47
260,Male,33,121,73
261,Male,22,118,88
262,Female,52,125,71
263,Male,29,118,95
264,Male,42,74,64
265,Male,69,114,71
266,Female,38,82,36
267,Female,53,147,88
268,Female,40,134,70
269,Male,33,51,62
270,Male,56,86,35
271,Female,62,141,74
272,Female,59,120,91
273,Female,56,106,70
274,Female,31,45,52
275,Male,48,136,85
276,Female,22,65,63
277,Male,52,43,75
278,Female,40,54,63
279,Male,46,55,58
280,Female,60,25,4
281,Female,28,15,17
282,Female,35,60,64
283,Female,64,115,72
284,Male,29,104,100
285,Female,26,124,98
286,Male,27,71,44
287,Male,61,15,29
288,Male,34,77,58
289,Male,55,69,40
290,Female,24,129,91
291,Male,63,67,31
292,Male,30,71,76
293,Male,57,131,73
294,Female,59,49,49
295,Female,26,77,51
296,Female,67,39,11
297,Female,44,104,86
298,Male,19,89,32
299,Male,22,52,46
300,Female,46,144,87
301,Male,54,149,88
302,Male,55,105,80
303,Male,36,31,47
304,Female,25,142,75
305,Female,65,122,96
306,Male,62,39,20
307,Female,18,102,65
308,Female,39,43,48
309,Female,69,77,34
310,Female,34,128,62
311,Female,24,63,30
312,Male,42,95,67
313,Female,62,98,44
314,Male,21,119,93
315,Male,53,132,94
316,Female,23,100,78
317,Male,48,77,54
318,Male,36,118,83
319,Male,61,63,41
320,Female,56,85,47
321,Female,44,15,15
322,Male,27,137,75
323,Female,43,76,56
324,Female,36,46,37
325,Female,56,43,75
326,Female,20,63,54
327,Male,62,44,46
328,Male,30,33,29
329,Female,67,32,8
330,Female,45,15,15
331,Male,37,92,56
332,Male,45,129,66
333,Female,25,127,62
334,Male,58,128,88
335,Female,56,77,73
336,Female,18,146,83
337,Male,20,143,62
338,Male,30,22,20
339,Female,45,69,75
340,Female,66,117,74
341,Male,42,145,84
342,Female,50,46,59
343,Male,55,24,14
344,Female,23,124,66
345,Male,61,138,76
346,Male,62,101,79
347,Male,49,69,65
348,Female,62,46,38
349,Female,64,149,97
350,Male,38,107,81
351,Female,33,22,2
352,Male,38,79,53
353,Male,28,71,37
354,Female,54,81,40
355,Female,53,86,42
356,Male,52,68,46
357,Female,36,81,37
358,Female,37,65,50
359,Male,35,111,77
360,Male,64,106,89
361,Female,58,22,18
362,Male,66,49,75
363,Male,31,110,90
364,Female,32,102,97
365,Male,48,92,61
366,Male,18,46,40
367,Female,20,134,84
368,Female,33,60,62
369,Male,40,69,67
370,Male,28,21,41
371,Female,29,88,37
372,Female,27,21,11
373,Female,49,99,51
374,Female,33,126,83
375,Male,25,139,100
376,Female,55,50,46
377,Female,29,43,41
378,Male,41,96,75
379,Female,45,16,32
380,Male,25,143,74
381,Female,45,61,45
382,Female,53,25,22
383,Female,43,144,87
384,Male,25,133,79
